ISO,Year,AIR
ABW,1980,0.0
ABW,1981,0.0
ABW,1982,0.0
ABW,1983,0.0
ABW,1984,0.0
ABW,1985,0.0
ABW,1986,0.0
ABW,1987,0.0
ABW,1988,0.0
ABW,1989,0.0
ABW,1990,0.0
ABW,1991,0.0
ABW,1992,0.0
ABW,1993,0.0
ABW,1994,0.0
ABW,1995,0.0
ABW,1996,0.0
ABW,1997,0.0
ABW,1998,0.0
ABW,1999,0.0
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
ABW,2020,0.0
ABW,2021,0.0
ABW,2022,0.0
ABW,2023,0.0
ABW,2024,0.0
ABW,2025,0.0
ABW,2026,0.0
ABW,2027,0.0
ABW,2028,0.0
ABW,2029,0.0
ABW,2030,0.0
ABW,2031,0.0
ABW,2032,0.0
ABW,2033,0.0
ABW,2034,0.0
ABW,2035,0.0
ABW,2036,0.0
ABW,2037,0.0
ABW,2038,0.0
ABW,2039,0.0
ABW,2040,0.0
ABW,2041,0.0
ABW,2042,0.0
ABW,2043,0.0
ABW,2044,0.0
ABW,2045,0.0
ABW,2046,0.0
ABW,2047,0.0
ABW,2048,0.0
ABW,2049,0.0
ABW,2050,0.0
AFG,1980,2140.0
AFG,1981,2140.0
AFG,1982,2140.0
AFG,1983,2140.0
AFG,1984,2140.0
AFG,1985,2140.0
AFG,1986,2140.0
AFG,1987,2140.0
AFG,1988,2140.0
AFG,1989,2140.0
AFG,1990,2140.0
AFG,1991,2140.0
AFG,1992,2140.0
AFG,1993,2140.0
AFG,1994,2140.0
AFG,1995,2140.0
AFG,1996,2140.0
AFG,1997,2140.0
AFG,1998,2140.0
AFG,1999,2140.0
AFG,2000,2140.0
AFG,2001,2140.0
AFG,2002,1745.0
AFG,2003,2752.0
AFG,2004,2086.0
AFG,2005,2214.0
AFG,2006,2307.0
AFG,2007,2252.0
AFG,2008,2191.0
AFG,2009,1836.0
AFG,2010,1896.0
AFG,2011,2044.0
AFG,2012,2072.0
AFG,2013,2092.0
AFG,2014,2177.0
AFG,2015,2165.0
AFG,2016,2457.0
AFG,2017,2271.0
AFG,2018,1947.0
AFG,2019,1947.0
AFG,2020,1966.47
AFG,2021,1986.1347
AFG,2022,2005.9960470000003
AFG,2023,2026.05600747
